Index,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Clusters
550,85,43,67,-10,13,34,190.0,12,12,7
551,110,64,70,-9,28,65,211.0,22,17,0
552,81,76,50,-5,26,61,208.0,9,3,2
553,148,84,52,-7,20,86,213.0,1,6,9
554,117,78,52,-4,11,90,236.0,0,4,9
555,108,87,74,-3,27,59,225.0,3,4,9
556,142,96,46,-4,28,40,238.0,7,6,2
557,131,22,46,-10,11,15,243.0,90,3,4
558,146,58,47,-7,25,37,183.0,51,3,8
559,134,92,59,-5,27,63,241.0,6,6,9
560,120,60,85,-5,8,84,264.0,0,4,9
561,99,68,62,-8,16,53,240.0,11,3,2
562,140,63,39,-7,11,32,373.0,24,3,1
563,125,64,55,-7,22,15,268.0,1,3,7
564,105,76,73,-5,6,54,228.0,13,3,2
565,168,77,38,-6,27,42,185.0,0,4,1
566,79,45,78,-6,18,59,282.0,47,3,8
567,129,66,57,-5,12,44,242.0,63,5,8
568,83,58,27,-9,37,65,198.0,50,4,6
569,93,41,67,-12,11,36,215.0,65,5,8
570,140,95,58,-9,47,30,456.0,0,4,2
571,126,81,64,-6,7,72,177.0,8,3,9
572,80,37,56,-10,9,28,182.0,93,4,3
573,160,82,65,-5,9,96,233.0,22,18,9
574,116,39,69,-11,12,38,213.0,49,3,8
575,148,70,49,-8,8,62,209.0,4,4,1
576,134,71,33,-7,13,19,532.0,31,3,7
577,93,48,74,-9,11,36,285.0,3,4,7
578,108,38,61,-10,10,20,259.0,61,5,8
579,152,86,46,-6,10,37,289.0,0,7,1
580,102,73,48,-5,21,43,215.0,3,3,2
581,135,72,76,-8,95,51,280.0,5,24,5
582,130,70,76,-9,4,30,268.0,7,4,2
583,162,82,46,-6,16,47,299.0,1,4,1
584,139,88,64,-4,36,74,242.0,8,3,9
585,94,34,38,-11,8,8,217.0,9,3,7
586,97,74,66,-7,33,74,161.0,24,14,9
587,114,34,44,-11,10,8,266.0,4,3,7
588,146,69,59,-7,10,19,212.0,72,8,8
589,111,64,62,-7,52,65,159.0,21,3,5
590,92,88,66,-3,69,77,348.0,3,9,5
591,167,89,49,-4,7,64,245.0,0,4,1
592,84,42,42,-6,11,18,173.0,59,4,8
593,160,80,65,-5,33,94,219.0,6,17,9
594,175,52,48,-12,9,10,311.0,33,4,7
595,156,87,37,-5,8,22,308.0,1,4,1
596,122,71,66,-5,12,48,258.0,7,4,2
597,130,44,72,-9,9,32,243.0,58,3,8
598,94,54,79,-7,20,89,215.0,9,5,0
599,116,78,65,-7,10,63,203.0,13,4,9
600,118,72,78,-6,7,71,246.0,13,4,9
601,128,87,58,-4,26,62,199.0,1,6,9
602,135,23,40,-9,11,28,222.0,89,4,4
603,124,85,62,-6,24,64,215.0,12,3,9
604,147,31,55,-10,11,25,261.0,82,3,4
605,86,28,32,-9,10,18,248.0,47,3,3
606,114,44,37,-15,67,45,198.0,82,8,4
607,125,88,56,-3,87,51,317.0,0,3,5
608,128,58,57,-9,14,30,287.0,1,3,7
609,174,13,50,-13,10,28,256.0,88,6,4
610,128,93,52,-5,11,20,233.0,0,9,2
611,95,79,36,-8,91,30,167.0,16,4,5
612,117,79,40,-3,7,57,216.0,2,5,2
613,115,61,86,-7,3,93,270.0,1,8,9
614,85,41,17,-8,11,9,203.0,61,3,3
615,122,39,58,-8,9,16,249.0,76,3,4
616,125,88,60,-6,11,58,468.0,0,4,2
617,146,45,54,-9,11,14,283.0,46,3,8
618,117,74,64,-4,17,79,216.0,1,3,9
619,121,48,66,-9,18,35,219.0,4,3,7
620,170,64,73,-6,6,65,202.0,5,14,9
621,83,41,27,-8,12,32,255.0,29,3,7
622,95,42,50,-12,20,22,242.0,88,3,3
623,90,74,49,-5,30,36,259.0,26,4,2
624,112,92,64,-4,15,53,264.0,0,4,2
625,171,50,36,-6,16,39,254.0,0,3,1
626,135,33,65,-11,22,52,272.0,43,3,8
627,89,82,53,-6,9,69,200.0,1,4,9
628,109,59,41,-5,28,56,204.0,55,3,8
629,161,38,35,-8,15,36,230.0,61,3,4
630,128,46,72,-8,11,39,201.0,8,3,7
631,78,40,54,-8,11,17,220.0,66,4,8
632,130,93,48,-5,31,37,232.0,1,5,2
633,49,37,39,-11,8,51,293.0,21,3,7
634,189,76,43,-8,55,66,247.0,2,4,5
635,123,92,45,-5,33,8,224.0,0,7,2
636,136,90,65,-11,15,61,222.0,0,4,9
637,111,90,64,-6,17,78,192.0,20,4,9
638,168,76,43,-9,10,51,155.0,0,6,1
639,121,62,88,-9,5,30,384.0,0,5,2
640,127,47,76,-7,10,77,157.0,54,4,6
641,106,67,57,-10,11,25,305.0,2,3,2
642,87,65,66,-4,6,37,203.0,12,5,2
643,164,72,48,-5,10,25,405.0,5,6,1
644,142,92,56,-4,28,59,235.0,0,3,2
645,100,38,61,-10,28,52,234.0,84,44,8
646,147,68,40,-6,68,60,212.0,18,3,5
647,134,41,46,-8,10,9,227.0,50,3,8
648,108,40,49,-8,14,15,598.0,49,3,8
649,170,46,18,-9,9,13,267.0,74,4,4
650,121,73,67,-7,18,78,218.0,28,4,9
651,158,45,48,-6,9,29,295.0,34,3,7
652,116,50,58,-7,13,11,206.0,20,3,7
653,98,72,68,-9,13,57,225.0,20,6,0
654,144,59,38,-6,9,27,291.0,35,5,1
655,163,79,39,-6,40,34,204.0,0,5,1
656,113,83,67,-6,10,70,238.0,1,7,9
657,123,55,55,-11,18,42,242.0,85,4,8
658,130,70,66,-7,9,51,382.0,5,3,2
659,106,27,72,-8,11,18,227.0,73,3,8
660,92,74,70,-7,11,20,302.0,7,7,2
661,109,33,67,-17,8,49,284.0,61,6,8
662,150,83,38,-7,7,45,220.0,0,6,1
663,90,21,12,-11,13,5,223.0,84,4,3
664,150,43,49,-8,12,31,315.0,10,3,7
665,142,66,46,-8,9,34,274.0,28,5,1
666,170,49,28,-8,17,53,427.0,16,3,1
667,123,75,59,-11,34,66,339.0,0,3,9
668,130,70,68,-9,14,81,214.0,0,3,9
669,100,53,56,-11,11,67,278.0,2,3,0
670,107,80,82,-4,15,63,226.0,3,8,9
671,98,55,37,-8,18,11,598.0,21,3,7
672,95,84,60,-7,11,47,240.0,2,7,2
673,142,28,59,-5,15,34,272.0,88,3,4
674,131,46,60,-12,22,80,204.0,10,4,0
675,72,26,35,-12,13,48,265.0,61,3,3
676,90,40,73,-9,11,55,196.0,8,3,0
677,74,51,36,-8,16,15,318.0,4,3,7
678,163,51,49,-8,10,34,214.0,58,12,4
679,120,47,77,-6,39,34,237.0,29,5,8
680,105,24,61,-17,25,37,290.0,76,3,3
681,108,7,52,-14,13,27,177.0,70,4,3
682,129,64,67,-7,14,89,223.0,22,3,9
683,145,91,57,-5,14,40,197.0,3,5,2
684,95,45,60,-6,11,17,263.0,16,2,7
685,118,89,76,-4,85,72,358.0,8,7,5
686,167,68,50,-4,6,47,262.0,1,3,1
687,114,59,49,-6,9,19,270.0,3,5,7
688,96,65,83,-3,9,93,234.0,58,8,6
689,125,78,78,-4,8,67,204.0,6,13,9
690,75,71,60,-4,17,55,200.0,39,30,8
691,98,21,61,-20,8,42,274.0,60,3,3
692,135,83,46,-5,14,47,261.0,2,10,2
693,120,60,52,-5,11,22,341.0,3,3,7
694,80,66,55,-7,10,52,244.0,39,3,8
695,190,53,26,-6,5,45,213.0,39,4,1
696,132,69,34,-9,34,21,341.0,0,4,1
697,135,66,67,-5,12,56,201.0,4,3,2
698,145,91,55,-5,35,64,180.0,1,7,9
699,108,61,57,-9,10,69,185.0,56,4,6
700,116,87,55,-5,46,61,303.0,0,3,2
701,128,78,67,-5,13,52,215.0,0,3,2
702,84,20,59,-11,9,17,255.0,90,3,3
703,146,28,49,-14,12,17,360.0,30,3,7
704,92,85,68,-11,6,93,391.0,23,5,9
705,168,93,51,-5,24,67,272.0,0,24,9
706,103,64,62,-7,16,45,247.0,5,3,2
707,168,82,61,-5,15,29,187.0,1,4,1
708,103,63,48,-7,12,16,671.0,39,3,7
709,90,39,52,-7,14,24,208.0,54,3,8
710,100,88,62,-3,33,78,171.0,7,10,9
711,115,71,63,-7,14,24,210.0,1,3,2
712,90,24,59,-11,9,26,221.0,91,4,3
713,147,89,55,-3,89,72,233.0,0,3,5
714,125,40,50,-9,12,15,225.0,34,3,7
715,112,75,91,-10,4,83,234.0,7,25,9
716,116,83,52,-4,8,48,331.0,0,4,2
717,103,31,40,-8,12,31,262.0,92,3,3
718,114,32,50,-13,24,30,249.0,10,3,7
719,92,87,51,-7,5,39,266.0,19,5,2
720,90,30,64,-10,10,44,238.0,62,3,8
721,86,22,43,-9,11,40,230.0,95,4,3
722,96,62,41,-6,40,23,250.0,9,7,7
723,140,68,51,-3,18,36,196.0,28,3,1
724,69,62,59,-6,13,27,186.0,2,11,2
725,171,75,56,-8,15,35,240.0,27,31,1
726,174,72,43,-6,9,69,268.0,10,4,1
727,96,39,57,-6,23,32,216.0,37,3,8
728,91,70,54,-6,10,56,221.0,5,3,2
729,174,44,64,-14,9,15,154.0,13,20,7
730,109,41,81,-9,8,50,223.0,11,4,0
731,126,83,69,-7,25,98,215.0,17,3,9
732,82,36,28,-12,25,36,172.0,65,3,3
733,122,40,43,-10,12,63,195.0,48,5,8
734,128,78,81,-4,19,82,220.0,6,5,9
735,152,60,32,-6,25,18,240.0,11,3,1
736,128,54,33,-9,21,82,146.0,57,4,6
737,105,47,72,-7,11,45,206.0,53,3,8
738,105,66,40,-7,23,39,217.0,3,3,2
739,140,57,34,-7,42,37,257.0,6,3,1
740,100,61,70,-6,8,22,189.0,22,4,7
741,98,73,67,-7,37,15,210.0,4,5,2
742,131,41,55,-11,24,86,152.0,46,5,6
743,111,74,66,-10,32,89,236.0,23,3,9
744,178,64,38,-7,37,8,261.0,7,7,1
745,81,49,50,-8,14,76,135.0,76,5,6
746,82,90,58,-3,6,68,191.0,19,6,9
747,126,60,73,-10,6,96,179.0,40,5,6
748,116,74,67,-5,24,75,201.0,29,5,9
749,124,69,83,-8,8,85,216.0,33,3,9
750,148,63,49,-7,9,8,275.0,68,3,4
751,198,61,30,-7,15,33,251.0,6,3,1
752,110,41,50,-6,11,45,182.0,75,3,8
753,124,89,77,-9,6,97,261.0,7,4,9
754,87,38,35,-10,12,53,253.0,73,4,3
755,87,25,41,-13,38,32,221.0,74,3,3
756,180,63,47,-5,11,16,212.0,3,5,1
757,128,49,41,-6,11,37,231.0,1,3,7
758,197,64,18,-7,12,52,241.0,11,4,1
759,68,58,23,-7,9,49,292.0,8,3,7
760,130,50,55,-6,76,30,210.0,30,4,5
761,140,49,57,-11,17,73,179.0,2,5,0
762,106,74,63,-8,17,67,276.0,47,4,6
763,100,57,74,-8,10,57,209.0,51,4,6
764,120,85,60,-5,12,15,203.0,2,46,2
765,109,52,57,-11,13,33,252.0,5,3,7
766,87,93,50,-3,37,68,217.0,3,8,9
767,132,71,42,-11,3,64,205.0,14,3,0
768,93,84,64,-8,21,89,216.0,42,4,6
769,89,34,71,-7,16,49,241.0,79,3,8
770,73,25,49,-11,8,27,202.0,88,3,3
771,103,76,53,-7,14,84,258.0,6,4,9
772,100,71,55,-8,8,30,218.0,6,5,2
773,105,52,77,-4,13,39,217.0,18,3,2
774,86,61,51,-5,8,23,295.0,0,2,2
775,124,86,79,-3,8,59,215.0,4,11,9
776,114,79,60,-6,39,24,217.0,1,7,2
777,94,68,54,-9,9,47,219.0,1,6,2
778,140,71,62,-7,13,49,211.0,6,7,2
779,97,38,40,-10,12,28,270.0,51,3,8
780,72,33,45,-13,14,27,184.0,82,4,3
781,150,66,25,-7,9,44,249.0,50,3,1
782,111,75,67,-9,29,69,261.0,8,3,9
783,106,32,52,-12,13,31,335.0,74,3,3
784,107,77,60,-8,11,72,204.0,10,3,9
785,108,58,74,-9,18,94,265.0,19,3,0
786,120,83,43,-6,14,35,455.0,2,5,2
787,135,43,70,-11,10,56,194.0,33,38,0
788,91,32,76,-7,8,57,189.0,84,5,8
789,124,76,40,-8,37,49,261.0,10,5,2
790,96,35,51,-9,59,51,172.0,67,15,8
791,121,76,61,-9,73,63,218.0,14,7,5
792,120,90,52,-5,10,24,322.0,0,4,2
793,132,87,47,-6,25,27,244.0,0,5,2
794,98,59,82,-6,15,51,209.0,69,9,8
795,98,56,70,-7,28,51,183.0,25,5,0
796,142,66,36,-8,6,38,237.0,10,3,1
797,139,53,59,-7,29,23,241.0,14,3,7
798,178,80,66,-5,7,84,229.0,20,15,9
799,113,17,68,-9,10,24,260.0,84,3,3
800,127,46,34,-11,9,35,620.0,17,4,7
801,143,40,44,-8,11,41,243.0,63,3,4
802,80,21,15,-14,12,26,293.0,82,3,3
803,163,66,42,-12,18,45,168.0,0,7,1
804,116,47,74,-13,19,89,160.0,9,3,0
805,128,32,55,-11,10,33,242.0,83,3,4
806,93,49,44,-14,16,63,309.0,70,6,8
807,94,45,49,-12,43,46,298.0,15,3,7
808,99,26,71,-15,10,56,177.0,88,4,3
809,92,36,41,-13,8,27,285.0,83,3,3
810,113,93,56,-10,35,62,146.0,1,6,9
811,124,80,60,-7,7,62,147.0,4,3,9
812,140,21,59,-15,12,38,180.0,90,5,4
813,155,28,50,-15,39,67,173.0,64,3,4
814,132,33,30,-10,6,39,218.0,76,3,4
815,136,33,50,-11,10,40,221.0,59,3,4
816,137,47,47,-10,16,57,269.0,18,4,0
817,148,21,33,-18,18,28,187.0,84,3,4
818,76,66,22,-10,47,32,344.0,2,5,7
819,119,84,63,-6,10,88,663.0,8,5,9
820,119,36,39,-11,12,31,444.0,0,3,7
821,123,59,76,-10,61,33,189.0,49,6,5
822,118,39,47,-14,14,55,241.0,64,3,8
823,127,41,71,-7,6,53,211.0,35,4,8
824,121,63,61,-8,15,90,244.0,34,3,6
825,121,70,54,-9,8,58,281.0,10,3,2
826,131,79,31,-8,11,26,201.0,35,5,1
827,103,88,76,-9,22,95,175.0,36,4,9
828,76,35,61,-14,8,36,201.0,50,4,8
829,105,66,75,-6,9,86,152.0,19,4,9
830,147,91,60,-7,8,72,290.0,31,6,9
831,159,17,48,-19,12,19,228.0,73,5,4
832,154,38,35,-16,5,48,276.0,9,3,7
833,86,52,61,-10,12,80,206.0,37,3,6
834,119,50,46,-12,27,53,266.0,6,4,7
835,89,25,53,-15,12,24,276.0,71,3,3
836,139,97,54,-6,12,93,166.0,42,9,9
837,128,36,38,-11,29,24,251.0,71,4,4
838,130,85,59,-6,27,81,161.0,6,3,9
839,162,57,37,-9,13,66,331.0,39,3,1
840,82,34,34,-12,12,20,483.0,58,3,3
841,76,26,55,-12,9,17,188.0,91,3,3
842,104,72,55,-12,11,72,435.0,25,3,0
843,134,32,28,-17,11,14,1.412,37,4,7
844,92,9,42,-19,34,46,243.0,91,4,3
845,93,46,45,-11,15,66,271.0,30,4,0
846,117,72,49,-8,29,15,300.0,31,4,7
847,123,38,44,-15,5,22,236.0,64,4,4
848,91,38,25,-14,11,51,213.0,14,3,7
849,80,42,48,-11,12,51,125.0,46,12,8
850,140,39,43,-7,8,16,342.0,69,3,4
851,171,73,35,-9,12,70,471.0,8,4,1
852,203,82,27,-6,36,81,233.0,10,10,1
853,122,57,39,-13,9,40,502.0,39,5,7
854,138,48,53,-12,8,49,517.0,70,6,8
855,145,43,41,-11,15,28,377.0,38,3,7
856,133,32,42,-13,9,41,200.0,62,3,4
857,109,65,65,-10,18,72,221.0,4,2,0
858,104,51,38,-15,54,40,355.0,1,5,7
859,175,59,23,-9,13,55,204.0,31,4,1
860,129,93,63,-4,6,96,229.0,22,3,9
861,169,26,47,-11,12,46,309.0,88,3,4
862,125,53,68,-13,6,35,266.0,42,9,8
863,131,70,32,-8,11,25,443.0,2,4,1
864,115,31,55,-12,11,41,218.0,51,4,8
865,87,11,70,-15,7,52,108.0,94,55,3
866,120,78,56,-7,7,97,179.0,36,6,9
867,92,28,70,-15,8,45,269.0,68,3,3
868,83,42,47,-10,5,50,239.0,52,3,8
869,133,33,27,-11,13,6,388.0,5,4,7
870,133,76,41,-9,8,39,511.0,7,7,2
871,129,57,61,-11,7,54,350.0,56,4,8
872,135,92,69,-6,8,23,511.0,30,6,2
873,96,31,69,-19,9,52,144.0,17,4,0
874,131,50,42,-13,20,66,254.0,48,3,6
875,147,59,56,-7,4,97,198.0,6,3,9
876,170,89,32,-7,9,87,221.0,0,4,9
877,81,86,44,-8,24,75,295.0,40,9,6
878,92,42,81,-15,10,84,157.0,75,4,6
879,119,4,47,-22,11,18,311.0,95,4,3
880,127,62,39,-8,9,34,221.0,21,3,7
881,141,63,41,-10,51,80,581.0,0,6,5
882,124,71,46,-9,13,41,174.0,21,4,2
883,114,59,63,-11,5,89,342.0,10,3,0
884,145,27,40,-12,10,9,225.0,74,3,4
885,137,53,60,-9,9,34,282.0,43,3,8
886,171,46,54,-10,10,80,187.0,19,3,0
887,100,45,49,-10,54,55,254.0,17,3,5
888,139,67,57,-10,13,74,212.0,34,3,6
889,123,51,65,-17,16,83,252.0,69,5,6
890,134,26,54,-12,15,64,148.0,85,3,4
891,134,51,45,-16,72,56,102.0,13,6,5
892,161,84,26,-7,28,46,157.0,0,10,1
893,136,16,44,-11,11,29,167.0,91,3,4
894,105,32,57,-17,9,39,254.0,68,11,3
895,109,78,45,-9,34,51,252.0,44,4,8
896,106,68,66,-8,8,65,258.0,16,3,0
897,161,56,44,-12,21,50,194.0,5,12,1
898,128,69,56,-11,20,75,345.0,53,4,6
899,106,60,65,-13,7,91,227.0,22,3,0
900,184,34,38,-13,10,69,179.0,81,4,4
901,134,75,29,-9,68,35,210.0,5,5,5
902,156,50,53,-11,26,79,153.0,48,3,6
903,86,22,54,-18,11,31,189.0,74,4,3
904,167,47,30,-13,34,58,228.0,69,5,4
905,81,60,22,-11,41,25,1.121,27,6,7
906,131,58,67,-10,6,82,211.0,22,3,0
907,99,57,56,-12,12,58,251.0,36,3,8
908,109,33,56,-16,32,33,195.0,47,3,8
909,109,78,44,-5,14,61,212.0,14,3,2
910,143,63,57,-12,25,87,258.0,49,3,6
911,125,54,68,-10,6,96,357.0,22,3,0
912,102,72,50,-9,8,18,387.0,1,4,2
913,136,55,43,-6,11,41,272.0,67,3,8
914,60,22,23,-13,27,18,214.0,95,3,3
915,161,43,31,-10,33,22,267.0,39,3,4
916,120,48,36,-12,18,36,414.0,52,8,8
917,117,85,28,-8,6,44,559.0,1,5,2
918,124,54,47,-10,27,78,383.0,2,15,0
919,181,39,36,-14,12,50,218.0,75,3,4
920,116,22,28,-14,8,18,284.0,77,3,3
921,81,64,55,-10,20,61,230.0,0,22,0
922,121,19,41,-13,11,63,246.0,85,3,4
923,73,30,36,-15,63,13,469.0,86,3,3
924,85,60,27,-10,19,29,575.0,2,4,7
925,125,60,48,-9,11,67,313.0,8,3,0
926,140,24,25,-14,7,21,421.0,68,3,4
927,111,40,63,-13,11,73,173.0,54,3,6
928,140,40,51,-13,11,23,150.0,25,3,7
929,144,75,66,-11,28,97,170.0,10,3,9
930,121,47,56,-8,15,40,193.0,45,3,8
931,92,38,59,-12,10,45,279.0,27,5,7
932,132,48,69,-12,9,90,235.0,38,3,6
933,83,45,60,-10,21,80,265.0,37,4,6
934,117,91,57,-7,6,84,207.0,9,4,9
935,134,51,51,-14,11,70,152.0,78,3,6
936,128,57,58,-9,36,82,248.0,38,3,6
937,130,80,41,-3,18,47,223.0,22,4,2
938,127,54,58,-13,12,42,349.0,14,4,7
939,77,29,59,-11,9,73,216.0,57,3,6
940,168,60,54,-11,8,64,291.0,4,5,0
941,90,47,37,-15,7,5,335.0,54,8,3
942,111,54,67,-11,13,81,162.0,57,4,6
943,117,65,54,-6,14,61,180.0,38,6,6
944,98,61,60,-12,9,89,284.0,18,3,0
945,148,93,44,-5,24,78,169.0,42,5,9
946,146,31,30,-11,37,46,181.0,87,3,4
947,148,41,66,-14,8,83,213.0,86,7,6
948,83,18,30,-11,13,9,160.0,85,3,3
949,92,53,39,-12,61,37,199.0,59,3,8
950,126,69,64,-16,28,46,275.0,21,5,0
951,123,42,40,-14,7,23,333.0,10,5,7
952,82,50,33,-16,13,11,1.367,11,4,7
953,136,14,45,-13,10,16,176.0,96,3,3
954,106,54,76,-10,6,96,193.0,79,5,6
955,168,47,28,-8,16,25,257.0,24,3,1
956,112,81,60,-5,85,77,197.0,63,5,5
957,112,36,48,-13,30,32,410.0,47,4,8
958,100,25,55,-18,69,29,149.0,94,6,3
959,128,64,51,-12,9,83,208.0,17,4,0
960,118,44,48,-15,22,76,235.0,0,4,0
961,104,46,31,-9,14,32,213.0,42,3,7
962,169,38,23,-14,13,33,261.0,75,3,4
963,138,32,26,-12,13,17,211.0,89,3,4
964,144,40,39,-10,24,23,354.0,29,5,7
965,79,18,33,-12,12,26,217.0,94,3,3
966,138,29,27,-12,11,4,811.0,77,3,4
967,146,94,27,-4,12,61,270.0,1,10,1
968,81,54,48,-11,16,58,508.0,49,4,8
969,78,68,66,-9,73,59,428.0,27,6,5
970,110,61,66,-10,8,77,292.0,6,3,0
971,138,75,75,-7,44,83,215.0,29,3,9
972,159,16,41,-22,12,42,199.0,88,3,4
973,141,76,37,-6,53,66,289.0,62,4,5
974,134,52,40,-16,28,16,367.0,69,6,4
975,129,49,72,-15,9,80,253.0,11,3,0
976,133,67,67,-10,16,87,382.0,20,2,0
977,119,76,52,-7,7,58,171.0,16,5,2
978,134,58,30,-6,7,18,576.0,37,3,7
979,80,33,49,-12,33,14,233.0,1,3,7
980,90,90,47,-7,29,21,325.0,11,3,2
981,129,37,43,-10,32,19,278.0,37,3,7
982,102,58,52,-10,11,34,211.0,3,3,7
983,180,43,22,-9,12,50,216.0,82,3,4
984,102,37,82,-13,8,29,217.0,17,8,7
985,89,59,39,-11,15,30,525.0,19,4,7
986,130,46,43,-12,13,38,293.0,12,3,7
987,81,25,25,-17,21,32,264.0,91,3,3
988,141,82,57,-8,9,77,239.0,1,3,9
989,128,49,38,-9,40,20,281.0,22,3,7
990,125,70,42,-6,33,56,204.0,26,3,2
991,89,64,57,-9,86,61,271.0,24,4,5
992,125,27,62,-17,11,34,284.0,88,5,3
993,91,42,44,-9,13,45,287.0,9,2,7
994,95,56,79,-10,8,67,261.0,45,5,6
995,106,96,68,-6,35,61,715.0,18,9,9
996,130,73,70,-8,10,64,243.0,43,3,6
997,105,29,46,-10,18,26,197.0,82,3,3
998,125,76,84,-5,3,60,251.0,6,9,9
999,37,25,27,-12,9,13,207.0,80,4,3
1000,147,51,58,-9,6,61,391.0,1,3,0
1001,112,69,50,-7,22,36,296.0,19,6,2
1002,101,88,54,-7,76,75,231.0,38,4,5
1003,126,28,55,-11,16,30,445.0,47,3,8
1004,136,83,51,-8,12,74,513.0,4,8,9
1005,109,68,38,-8,5,29,285.0,0,3,2
1006,141,93,33,-9,30,38,308.0,0,7,1
1007,107,43,65,-10,11,65,305.0,38,3,6
1008,104,56,43,-7,13,28,235.0,2,3,7
1009,98,58,52,-13,5,49,366.0,2,3,7
1010,135,89,33,-6,35,16,287.0,9,7,2
1011,111,53,35,-9,8,47,256.0,58,3,8
1012,107,74,55,-7,24,90,244.0,4,3,9
1013,68,45,44,-7,11,24,305.0,89,4,3
1014,127,79,48,-6,45,79,323.0,0,3,9
1015,121,37,51,-9,32,20,362.0,50,3,8
1016,108,70,68,-10,11,93,243.0,32,4,6
1017,119,83,48,-7,32,82,394.0,18,9,9
1018,106,72,82,-10,7,89,252.0,8,5,9
1019,135,28,30,-13,17,33,399.0,80,3,4
1020,81,71,45,-10,21,77,267.0,23,5,0
1021,123,65,55,-7,12,37,212.0,58,3,8
1022,107,57,59,-10,8,95,233.0,16,7,0
1023,177,78,39,-3,11,90,134.0,0,23,9
1024,100,75,56,-13,33,64,283.0,61,11,6
1025,142,70,46,-10,9,51,428.0,29,7,1
1026,104,41,79,-15,14,39,169.0,41,5,8
1027,109,88,62,-7,4,83,242.0,0,8,9
1028,121,69,78,-7,11,70,187.0,52,4,6
1029,118,17,43,-11,11,14,296.0,42,4,7
1030,140,42,32,-11,10,29,204.0,55,3,4
1031,112,76,49,-6,9,44,371.0,0,3,2
1032,173,87,33,-8,46,49,508.0,21,12,1
1033,135,94,59,-5,7,83,224.0,2,4,9
1034,178,34,39,-10,25,48,303.0,65,3,4
1035,135,31,41,-10,7,7,653.0,31,4,7
1036,159,84,29,-4,10,42,334.0,0,8,1
1037,81,50,69,-7,26,47,122.0,68,12,8
1038,152,67,55,-9,5,48,270.0,1,5,1
1039,148,48,81,-10,5,62,180.0,1,6,0
1040,64,46,27,-7,12,17,179.0,38,3,7
1041,177,32,29,-12,12,38,201.0,80,3,4
1042,112,71,37,-10,13,32,488.0,10,6,7
1043,94,32,48,-11,11,39,206.0,37,3,8
1044,172,84,20,-8,29,39,590.0,28,7,1
1045,102,63,68,-9,31,48,261.0,36,3,8
1046,200,42,29,-9,10,35,232.0,84,4,4
1047,96,21,57,-16,13,49,225.0,65,3,3
1048,104,97,39,-6,10,69,314.0,3,4,2
1049,130,70,48,-8,31,83,249.0,40,4,6
1050,104,54,71,-20,9,64,93.0,11,4,0
1051,123,52,72,-8,13,94,261.0,7,6,0
1052,89,75,61,-9,14,61,277.0,32,9,0
1053,184,9,39,-15,10,36,201.0,98,3,4
1054,91,73,49,-6,8,43,366.0,0,9,2
1055,119,72,67,-8,4,83,193.0,4,4,9
1056,127,71,67,-16,9,96,355.0,3,4,0
1057,135,89,50,-5,73,70,283.0,9,5,5
1058,133,43,39,-11,16,40,251.0,43,3,8
1059,107,69,69,-8,20,93,244.0,17,3,9
1060,91,82,53,-5,26,47,248.0,7,5,2
1061,106,80,67,-9,6,76,184.0,3,4,9
1062,175,66,39,-6,6,46,274.0,28,3,1
1063,125,68,46,-9,50,68,304.0,25,8,5
1064,80,48,59,-9,9,49,324.0,39,2,8
1065,105,50,70,-13,32,68,222.0,6,3,0
1066,137,69,55,-14,14,67,262.0,2,4,0
1067,76,52,73,-10,7,95,173.0,8,32,0
1068,133,49,52,-12,14,47,201.0,10,3,7
1069,77,56,66,-9,6,62,294.0,40,3,6
1070,111,74,60,-11,68,62,321.0,44,10,5
1071,93,46,81,-13,15,74,191.0,78,3,6
1072,98,93,42,-5,11,34,457.0,41,13,2
1073,148,91,27,-5,15,48,200.0,0,7,1
1074,177,48,65,-16,6,80,448.0,23,6,0
1075,129,45,75,-15,12,95,220.0,42,6,6
1076,119,64,91,-11,6,90,331.0,3,6,0
1077,98,65,69,-8,11,71,255.0,29,3,0
1078,117,93,52,-7,82,31,244.0,39,10,5
1079,139,45,59,-9,13,51,291.0,70,4,8
1080,134,98,32,-4,20,17,212.0,4,12,2
1081,127,60,62,-9,10,86,217.0,1,3,0
1082,148,87,73,-7,32,92,350.0,6,3,9
1083,156,87,56,-5,77,60,209.0,5,16,5
1084,102,33,34,-14,15,35,305.0,65,3,3
1085,125,39,48,-11,12,52,269.0,37,3,8
1086,92,61,63,-7,68,55,223.0,60,3,5
1087,134,75,62,-9,5,66,192.0,4,36,9
1088,96,70,49,-12,15,78,236.0,4,6,0
1089,90,26,25,-11,14,20,159.0,96,3,3
1090,123,78,61,-8,28,85,242.0,9,5,9
1091,114,35,50,-14,26,42,366.0,9,3,7
1092,105,38,84,-13,20,89,268.0,54,6,6
1093,88,69,43,-8,36,52,203.0,6,6,2
1094,96,90,47,-6,34,42,215.0,15,6,2
1095,83,67,43,-6,10,61,181.0,6,8,2
1096,93,72,53,-10,8,76,241.0,13,3,0
1097,77,57,54,-8,9,73,290.0,1,16,0
1098,137,34,54,-14,13,30,236.0,46,4,8
1099,110,71,80,-5,34,85,289.0,44,4,6
1100,91,82,67,-7,97,80,317.0,10,5,5
1101,122,56,78,-8,7,76,232.0,11,10,0
1102,123,80,44,-5,10,52,205.0,5,4,2
